code,LA,workType,workCat,Manager%,Professional%,TechOp%,Admin%,SkilledTrade%,Caring%,Sales%,MachineOp%,Elementary%
E09000019,Islington,1,Commutes via Public Transport,0.12438353,0.133292633,0.139735128,0.226919405,0.384755358,0.425399645,0.424464286,0.244279176,0.543387857
E09000019,Islington,4,WFH,0.69899071,0.707392145,0.689365794,0.556525297,0.155681359,0.186204855,0.274642857,0.133295195,0.089270862
E09000020,Kensington and Chelsea,1,Commutes via Public Transport,0.12545307,0.145679141,0.151130633,0.212238951,0.303917154,0.288366581,0.357232704,0.193682956,0.449984419
E09000020,Kensington and Chelsea,4,WFH,0.674330538,0.676899823,0.67382463,0.54565323,0.212516884,0.367963658,0.300943396,0.147794994,0.151760673
E09000021,Kingston upon Thames,1,Commutes via Public Transport,0.089477988,0.103747963,0.111922696,0.130543933,0.182385576,0.229902455,0.268794862,0.116058906,0.330037313
E09000021,Kingston upon Thames,4,WFH,0.640997683,0.604228471,0.616069391,0.551743375,0.096220527,0.147494114,0.203248961,0.137096774,0.080597015
E09000022,Lambeth,1,Commutes via Public Transport,0.150457287,0.160536815,0.164690573,0.247293855,0.402536998,0.51195735,0.458575257,0.258606756,0.669492516
E09000022,Lambeth,4,WFH,0.668573652,0.668661589,0.677703875,0.572429163,0.121775899,0.13335872,0.266190264,0.113786973,0.064487839
E09000023,Lewisham,1,Commutes via Public Transport,0.157281072,0.169416259,0.178450931,0.24991591,0.386459129,0.456293968,0.440761203,0.240502355,0.610323469
E09000023,Lewisham,4,WFH,0.635326222,0.628100752,0.642034619,0.560040363,0.107620321,0.130519383,0.206056886,0.123547881,0.070406056
E09000024,Merton,1,Commutes via Public Transport,0.13927986,0.157866105,0.166993144,0.212756662,0.341086122,0.399396962,0.389837746,0.179546328,0.534597156
E09000024,Merton,4,WFH,0.633090272,0.606099759,0.616429971,0.529925732,0.081733406,0.150295721,0.184457728,0.097846982,0.065718799
E09000025,Newham,1,Commutes via Public Transport,0.259550345,0.229917745,0.267938192,0.335896013,0.587247712,0.55681658,0.546355565,0.285545124,0.69579288
E09000025,Newham,4,WFH,0.456290665,0.566798153,0.531949615,0.45177142,0.058852052,0.099252784,0.130841765,0.056838366,0.039836647
E09000026,Redbridge,1,Commutes via Public Transport,0.156501664,0.165457395,0.191384508,0.219243986,0.424034869,0.374898374,0.390972545,0.228085383,0.542516161
E09000026,Redbridge,4,WFH,0.477719317,0.525104481,0.546382189,0.516151203,0.079078456,0.133028455,0.153745928,0.071947123,0.059671805
E09000027,Richmond upon Thames,1,Commutes via Public Transport,0.072337285,0.094029458,0.094912551,0.127994228,0.165438714,0.216715435,0.25660176,0.124828532,0.313965885
E09000027,Richmond upon Thames,4,WFH,0.738569754,0.665307733,0.674186749,0.615295815,0.15874079,0.223116313,0.303280875,0.210333791,0.11966951
E09000028,Southwark,1,Commutes via Public Transport,0.136625265,0.155139712,0.153622385,0.267022113,0.40249066,0.52360515,0.459506031,0.266444073,0.654015206
E09000028,Southwark,4,WFH,0.672523478,0.656576915,0.667647874,0.530548029,0.12988792,0.122980882,0.245835727,0.106510851,0.057971014
